6856,82755,NEPTUNE PLANT SHRINKAGE - ENTERPRISE GAS PROCESSING,LA,ST MARY,FZE,PLT,D,,9/22/2021,9/22/2021,153
6857,82829,ST 161 C - ARENA OFFSHORE,LA,TERREBONNE,FZE,GTH,R,,9/22/2021,9/22/2021,153
6858,82833,HILCORP-CDM MAX TO TGC - HILCORP ENERGY ,LA,ST MARY,FZE,WHD,R,,9/22/2021,9/22/2021,153
6859,82850,GI 83 B - FIELDWOOD,LA,TERREBONNE,FZE,GTH,R,,9/22/2021,9/22/2021,153
6860,82851,SS 189 B - WALTER OIL & GAS ,LA,TERREBONNE,FZE,GTH,R,,9/22/2021,9/22/2021,153
6861,82856,ST 54 / 55 - ENERGY XXI GOM ,LA,TERREBONNE,FZE,GTH,R,,9/22/2021,9/22/2021,153
6862,82859,ST 195 B - FIELDWOOD,LA,TERREBONNE,FZE,GTH,R,,9/22/2021,9/22/2021,153
6863,82865,GI 70 - ROOSTER PETROLEUM ,LA,TERREBONNE,FZE,GTH,R,,9/22/2021,9/22/2021,153
6864,85000,SP 23 D / ST 76 - TALOS ENERGY,LA,TERREBONNE,FZE,GTH,R,,9/22/2021,9/22/2021,153
6865,94000,COLUMBIA GULF TRANSMISSION,LA,VERMILION,FLD,INT,D,,9/22/2021,9/22/2021,153
6866,94000P,COLUMBIA GULF TRANSMISSION - PARK,LA,VERMILION,FLD,VIR,D,,9/22/2021,9/22/2021,153
6867,94000P,COLUMBIA GULF TRANSMISSION - PARK,LA,VERMILION,FLD,VIR,R,,9/22/2021,9/22/2021,153
6868,94006,EC 261 - FIELDWOOD,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6869,94008,EC 278 B - FIELDWOOD,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6870,94010,EC 317 - MEDCO ENERGI US,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6871,94011,EC 332 - FIELDWOOD,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6872,94012,EC 334 B - ENERGY XXI GOM ,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6873,94017,EI 181 / 182 - ARENA OFFSHORE ,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6874,94022,EI 240 - BLACK ELK ENERGY OFFSHORE OPERATIONS,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6875,94024,EI 261 - BLACK ELK ENERGY OFFSHORE OPERATIONS,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6876,94031,EI 330 B - FIELDWOOD,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6877,94034,EI 337 - FIELDWOOD,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6878,94035,JEFFERSON ISLAND STORAGE & HUB,LA,VERMILION,FLD,INT,D,,9/22/2021,9/22/2021,153
8284,13195,VICI OKLAHOMA,OK,DEWEY,FLD,LDC,D,,9/22/2021,9/22/2021,150
6879,94035P,JEFFERSON ISLAND STORAGE & HUB - PARK,LA,VERMILION,FLD,VIR,D,,9/22/2021,9/22/2021,153
6880,94035P,JEFFERSON ISLAND STORAGE & HUB - PARK,LA,VERMILION,FLD,VIR,R,,9/22/2021,9/22/2021,153
6881,94040,GULF SOUTH PIPELINE,LA,VERMILION,FLD,INT,D,,9/22/2021,9/22/2021,153
6882,94040P,GULF SOUTH PIPELINE - PARK,LA,VERMILION,FLD,VIR,D,,9/22/2021,9/22/2021,153
6883,94040P,GULF SOUTH PIPELINE - PARK,LA,VERMILION,FLD,VIR,R,,9/22/2021,9/22/2021,153
