154,"FLORIDA GAS TRANSMISSION COMPANY, LLC",2021-01-10 11:17:22.207199,2021-01-10 11:17:22.207199,Energy Transfer,,6924518,https://fgttransfer.energytransfer.com/ipost/locations/index?f=csv&extension=csv&asset=FGT&gasDay=,https://fgttransfer.energytransfer.com/ipost/capacity/operationally-available?f=csv&extension=csv&asset=FGT&gasDay={}&cycle={}&searchType=NOM&searchString=&locType=ALL&locZone=ALL
126,MISSISSIPPI CANYON,2021-01-10 11:17:22.207199,2021-01-10 11:17:22.207199,Spectra Energy,,962767138,https://linkwc.spectraenergy.com/Pointdata/MCGPAllPoints.csv,
153,"Sea Robin Pipeline Company, LLC",2021-01-10 11:17:22.207199,2021-01-10 11:17:22.207199,Energy Transfer,,45943644,https://sermessenger.energytransfer.com/ipost/locations/index?f=csv&extension=csv&asset=SER&gasDay=,https://sermessenger.energytransfer.com/ipost/capacity/operationally-available-by-location?f=csv&extension=csv&asset=SER&gasDay={}&cycleDesc={}&pointCd=&name=
132,SABAL,2021-01-10 11:17:22.207199,2021-01-10 11:17:22.207199,Spectra Energy,,930373670,https://linkwc.spectraenergy.com/Pointdata/STTAllPoints.csv,
133,TX EAST TRAN,2021-01-10 11:17:22.207199,2021-01-10 11:17:22.207199,Spectra Energy,,7932908,https://linkwc.spectraenergy.com/Pointdata/TeAllPoints.csv,
124,GARDEN BANKS,2021-01-10 11:17:22.207199,2021-01-10 11:17:22.207199,Spectra Energy,,966981599,https://linkwc.spectraenergy.com/Pointdata/GBAllPoints.csv,
152,Rover Pipeline LLC,2021-01-10 11:17:22.207199,2021-01-10 11:17:22.207199,Energy Transfer,,79717714,https://rovermessenger.energytransfer.com/ipost/locations/index?f=csv&extension=csv&asset=ROVER&gasDay=,https://rovermessenger.energytransfer.com/ipost/capacity/operationally-available-by-location?f=csv&extension=csv&asset=ROVER&gasDay={}&cycleDesc={}&pointCd=&name=
150,"Panhandle Eastern Pipe Line Company, LP",2021-01-10 11:17:22.207199,2021-01-10 11:17:22.207199,Energy Transfer,,45256641,https://peplmessenger.energytransfer.com/ipost/locations/index?f=csv&extension=csv&asset=PEPL&gasDay=,https://peplmessenger.energytransfer.com/ipost/capacity/operationally-available-by-location?f=csv&extension=csv&asset=PEPL&gasDay={}&cycleDesc={}&pointCd=&name=
125,GPL,2021-01-10 11:17:22.207199,2021-01-10 11:17:22.207199,Spectra Energy,,36638044,"",
127,M&N US,2021-01-10 11:17:22.207199,2021-01-10 11:17:22.207199,Spectra Energy,,81787256,https://linkwc.spectraenergy.com/Pointdata/MnusAllPoints.csv,
128,NAUTILUS,2021-01-10 11:17:22.207199,2021-01-10 11:17:22.207199,Spectra Energy,,176824738,https://linkwc.spectraenergy.com/Pointdata/NPCAllPoints.csv,
129,NEXUS US,2021-01-10 11:17:22.207199,2021-01-10 11:17:22.207199,Spectra Energy,,80151107,https://linkwc.spectraenergy.com/Pointdata/NXUSAllPoints.csv,
130,OGT,2021-01-10 11:17:22.207199,2021-01-10 11:17:22.207199,Spectra Energy,,618091672,https://linkwc.spectraenergy.com/Pointdata/OgtAllPoints.csv,
